  2715.00  34.03   3.51   8.67   0.77  19.23   0.00    11   614   0.98
  2745.00  33.44   5.88  14.05   0.77  19.21   0.00    18   615   0.31
  2775.00  29.54   8.38  24.38   0.98  19.90   0.00    31   615   0.64
  2805.00  25.35   8.58  43.37   1.24  20.66   0.00    63   615   0.64
  2835.00  22.99   8.57 289.82   1.77  21.67   0.00   362   615   0.57
  2865.00  22.91   8.98 287.00   1.87  21.83   0.00   287   615   0.62
  2895.00  22.91   8.90 282.00   1.84  21.82   0.00   282   615   0.97
  2925.00  22.91   8.68 282.00   1.78  21.82   0.00   282   616   0.25
  2955.00  22.91   7.56 255.00   1.72  21.82   0.00   255   616   0.46
  2985.00  23.49   3.65 103.98   1.65  21.70   0.00   104   616   0.64
  3015.00  27.01   2.50   9.00   1.36  20.93   0.00     9   616   0.86
  3045.00  31.52   2.83   5.80   0.98  19.93   0.00     7   617   0.04
  3075.00  34.02   3.50   8.63   0.76  19.27   0.00    10   617   0.43
  3105.00  33.43   5.87  13.99   0.76  19.25   0.00    18   617   0.75
  3135.00  29.54   8.38  24.38   0.98  19.96   0.00    31   618   0.08
  3165.00  25.35   8.59  43.33   1.23  20.73   0.00    63   618   0.08
  3195.00  22.99   8.57 479.48   1.82  21.79   0.00   618   618   0.00
  3225.00  22.91   8.98 550.00   1.95  21.97   0.00   550   618   0.06
  3255.00  22.91   8.90 550.00   1.95  21.96   0.00   550   618   0.40
  3285.00  22.91   8.68 550.00   1.95  21.96   0.00   550   618   0.68
  3315.00  22.91   7.56 550.00   1.95  21.96   0.00   550   618   0.89
  3345.00  23.49   3.64 227.00   1.89  21.87   0.00   227   619   0.07
  3375.00  27.00   2.50   9.00   1.59  21.10   0.00     9   619   0.29
  3405.00  31.50   2.82   5.76   1.20  20.09   0.00     7   619   0.47
  3435.00  34.01   3.49   8.60   0.98  19.43   0.00    10   619   0.86
  3465.00  33.43   5.85  13.92   0.98  19.41   0.00    18   620   0.18
  3495.00  29.54   8.38  24.38   1.20  20.12   0.00    31   620   0.51
  3525.00  25.35   8.59  43.29   1.46  20.87   0.00    62   620   0.51
  3555.00  22.98   8.56 469.02   1.84  21.76   0.00   620   620   0.43
  3585.00  22.90   8.96 440.00   1.90  21.87   0.00   440   620   0.48
  3615.00  22.90   8.88 440.00   1.89  21.86   0.00   440   620   0.82
  3645.00  22.90   8.67 451.09   1.89  21.87   0.00   471   621   0.10
  3675.00  22.90   7.54 471.00   1.90  21.87   0.00   471   621   0.31
  3705.00  23.48   3.63 405.00   1.85  21.78   0.00   405   621   0.49
  3735.00  26.99   2.49   9.00   1.55  21.00   0.00     9   621   0.71
  3765.00  31.49   2.81   5.72   1.16  20.00   0.00     7   621   0.89
  3795.00  34.01   3.48   8.56   0.94  19.35   0.00    10   622   0.27
  3825.00  33.42   5.83  13.87   0.94  19.32   0.00    18   622   0.59
  3855.00  29.53   8.37  24.34   1.17  20.05   0.00    31   622   0.92
  3885.00  25.35   8.59  43.18   1.42  20.82   0.00    62   622   0.92
  3915.00  22.96   8.54 480.28   1.79  21.68   0.00   622   622   0.84
  3945.00  22.87   8.94 437.00   1.85  21.79   0.00   437   622   0.89
  3975.00  22.87   8.86 437.00   1.84  21.78   0.00   437   623   0.24
  4005.00  22.87   8.65 437.00   1.84  21.78   0.00   437   623   0.51
  4035.00  22.87   7.52 423.00   1.84  21.78   0.00   423   623   0.72
  4065.00  23.46   3.61 332.00   1.80  21.69   0.00   332   623   0.90
  4095.00  26.97   2.48   9.00   1.50  20.92   0.00     9   624   0.11
  4125.00  31.48   2.80   5.70   1.11  19.92   0.00     7   624   0.30
  4155.00  34.00   3.47   8.53   0.89  19.27   0.00    10   624   0.68
  4185.00  33.42   5.81  13.81   0.89  19.25   0.00    18   624   1.00
  4215.00  29.53   8.36  24.28   1.12  19.98   0.00    31   625   0.33
  4245.00  25.35   8.58  43.05   1.38  20.75   0.00    62   625   0.32
  4275.00  22.95   8.54 478.98   1.74  21.60   0.00   625   625   0.25
  4305.00  22.87   8.94 450.00   1.80  21.70   0.00   450   625   0.30
  4335.00  22.87   8.86 450.00   1.80  21.69   0.00   450   625   0.64
  4365.00  22.87   8.64 450.00   1.80  21.70   0.00   450   625   0.91
  4395.00  22.87   7.52 451.60   1.80  21.70   0.00   453   626   0.12
  4425.00  23.45   3.60 324.00   1.74  21.60   0.00   324   626   0.30
  4455.00  26.96   2.47   9.00   1.44  20.83   0.00     9   626   0.51
  4485.00  31.47   2.79   5.66   1.06  19.83   0.00     7   626   0.69
  4515.00  33.99   3.46   8.51   0.84  19.19   0.00    10   627   0.07
  4545.00  33.41   5.80  13.76   0.84  19.16   0.00    18   627   0.39
  4575.00  29.52   8.35  24.23   1.07  19.90   0.00    31   627   0.72
  4605.00  25.34   8.58  42.98   1.33  20.70   0.00    62   627   0.72
  4635.00  22.95   8.54 336.76   1.69  21.53   0.00   431   627   0.64
  4665.00  22.87   8.94 430.00   1.74  21.62   0.00   430   627   0.69
  4695.00  22.87   8.86 430.08   1.74  21.61   0.00   431   628   0.03
  4725.00  22.87   8.64 427.00   1.74  21.61   0.00   427   628   0.30
  4755.00  22.87   7.52 427.00   1.74  21.61   0.00   427   628   0.51
  4785.00  23.45   3.60 368.00   1.70  21.53   0.00   368   628   0.68
  4815.00  26.95   2.47   9.00   1.40  20.77   0.00     9   628   0.90
  4845.00  31.45   2.79   5.63   1.02  19.77   0.00     7   629   0.08
  4875.00  33.98   3.45   8.49   0.80  19.13   0.00    10   629   0.46
  4905.00  33.41   5.79  13.74   0.80  19.11   0.00    18   629   0.78
  4935.00  29.52   8.35  24.20   1.03  19.84   0.00    31   630   0.10
  4965.00  25.34   8.58  42.97   1.28  20.64   0.00    62   630   0.10
  4995.00  22.95   8.54 300.90   1.63  21.44   0.00   402   630   0.02
  5025.00  22.87   8.94 402.00   1.68  21.53   0.00   402   630   0.07
  5055.00  22.87   8.86 380.00   1.68  21.52   0.00   380   630   0.40
  5085.00  22.87   8.64 380.00   1.68  21.52   0.00   380   630   0.67
  5115.00  22.87   7.52 380.00   1.68  21.52   0.00   380   630   0.88
  5145.00  23.44   3.59 215.00   1.63  21.45   0.00   215   631   0.06
  5175.00  26.94   2.46   9.00   1.34  20.69   0.00     9   631   0.27
  5205.00  31.44   2.78   5.59   0.96  19.69   0.00     7   631   0.45
  5235.00  33.97   3.44   8.46   0.74  19.06   0.00    10   631   0.83
  5265.00  33.40   5.77  13.71   0.74  19.03   0.00    18   632   0.15
  5295.00  29.51   8.34  24.16   0.97  19.76   0.00    31   632   0.47
